S. No.,Product,HSN Code (4 digit),Shiprocket SKU code,State & City,Shop Name,Product weight,Main person's name & Contact No.,GST Registration No.,FSSAI Licence No.,Packaging availability (Outer),MRP Printed on Vendor's package (Y/N & current MRP),Applicable GST rate (%) - Buying,Applicable GST rate (%) - Selling,Available SKUs by weight,"Total weight/unit 
(with packaging)",Package dimensions (LxBxH),"Volumetric 
(with Delhivery)",Custom MRP possible?,Agreed Price (per kg) - Without GST,Channel of communication for orders,Phone No. (with Whatsapp),SPOC,Mail ID (if available),Full Address,PIN Code,Pickup hours/Shop timings,Payment Terms,"Remarks, if any"
1,Almonds,0802,"0011, 0004, 001",Kashmir,Gangaram,,,01AACFG1143L1ZX,11017150000459,0.4 Kg,N,12%,,400 gms,500 gms,21*13*7 (cm),0.48,Yes,892.9,Whatsapp/Call,9906379433,Rohit,,"Shop number 36, Pt.ganga ram rattan kumar, dry fruits Merchants,  raghunath bazar, Jammu. J&K - 180001",180001,Before 6pm,Payment in 1-2 days post delivery,
2,Walnuts,0802,0015,,,,,01AACFG1143L1ZX,11017150000459,0.4 Kg,N,5%,,400 gms,500 gms,21*13*7 (cm),0.48,Yes,952.4,Whatsapp/Call,9906379433,Rohit,,"Shop number 36, Pt.ganga ram rattan kumar, dry fruits Merchants,  raghunath bazar, Jammu. J&K - 180001",180001,,,
1,Kashmiri Almonds - New,,,,Kashmirexotics,,Maqsood,01BQYPD3217M1ZQ,21017411000241,0.4 Kg,N,12%,,400 gms,,21*13*7 (cm),,NA,1012.1,,7006644649,Maqsood,,"Kashmir Exotics Ishbur, Nishat ,Srinagar, Jammu and Kashmir, 191121",191121,,,
2,Kashmiri Walnuts - New,,,,,,,01BQYPD3217M1ZQ,21017411000241,0.4 Kg,N,5%,,400 gms,,21*13*7 (cm),,NA,1240.1,,7006644649,Maqsood,,"Kashmir Exotics Ishbur, Nishat ,Srinagar, Jammu and Kashmir, 191121",,,,
,Kashmiri Raisins - Golden,,,,,,,,,0.4 Kg,,5%,,,,,,,,,,,,,,,,
,Kashmiri Raisins - Black,,,,,,,,,0.4 Kg,,5%,,,,,,,,,,,,,,,,
3,Badam Patisa ,2106,0003,Punjab,RHJ Sweets,,Sachin,03AABFR2891P1ZU,12118441000255,0.4 Kg,N,5%,,400 gms,470 gms,17*17*4 (cm),0.29,NA,357.9,Whatsapp/Call,9417000650,Sumit,Rhj1925@gmail.com,"Ram Lal Hakumat Rai, Railway Station Rd, Ram Nagar Area, Jagraon, Punjab 142026",142026,Till 7 pm,Payment in 1-2 days post delivery,
4,Panjiri,2106,,,,,,03AABFR2891P1ZU,12118441000255,0.4 Kg,N,5%,,400 gms,470 gms,17*17*4 (cm),0.29,NA,402.3,Whatsapp/Call,9417000650,Sumit,Rhj1925@gmail.com,"Ram Lal Hakumat Rai, Railway Station Rd, Ram Nagar Area, Jagraon, Punjab 142026",142026,,,
5,Pinni,,,,,,,03AABFR2891P1ZU,12118441000255,0.4 Kg,N,5%,,400 gms,470 gms,17*17*4 (cm),0.29,NA,461.0,Whatsapp/Call,9417000650,Sumit,Rhj1925@gmail.com,"Ram Lal Hakumat Rai, Railway Station Rd, Ram Nagar Area, Jagraon, Punjab 142026",142026,,,
6,Achari Mathri,,,Delhi,Nathus,,Bhavya,07BMHPG2575C3Z8,13318010000672,0.4 Kg,N,12%,,400 gms,480 gms,19*14*9 (cm),0.59,NA,300.0,Whatsapp/Call,9599091606,Bhavya/Sajjan,,"Nathus, C-787, New Friends Colony ,new delhi 110025",110025,No such time information,Payment in 1-2 days post delivery,Prices include packaging cost also
7,Mini Samosa ,,,,,,,,,0.4 Kg,N,12%,,400 gms,480 gms,19*14*9 (cm),0.59,NA,300.0,,,,,,,,,
8,Sohan Halwa,,,,,,,,,0.4 Kg,N,5%,,400 gms,480 gms,19*14*9 (cm),,NA,687.5,,,,,,,,,
9,Karachi Halwa,,,,,,,,,0.4 Kg,N,5%,,400 gms,480 gms,19*14*9 (cm),,NA,420.0,,,,,,,,,
,Makhana (medium size),,,Bihar,Koshi,,,10AAECH6585L1ZD,,0.25 Kg,Y,5%,,250 gms,300 gms,28*21*5.5 (cm),0.81,Yes,693.0,Whatsapp/Call,8002794821,Kumar,,"Koshi Makhana, Near New Shahzam Traders, Ward No. 26, Bhartiya Nagar, Batraha, Saharsa, Bihar - 852201",852201,Till 7 pm,Advance payment,Includes packaging rates
10,Makhana (Premium large),,,Bihar,Koshi,,,10AAECH6585L1ZD,,0.25 Kg,Y,5%,,250 gms,300 gms,28*21*5.5 (cm),0.81,Yes,799.0,Whatsapp/Call,8002794821,Kumar,,"Koshi Makhana, Near New Shahzam Traders, Ward No. 26, Bhartiya Nagar, Batraha, Saharsa, Bihar - 852201",852201,Till 7 pm,Advance payment,Includes packaging rates
11,Darjeeling Premium Green Tea,,,West Bengal,Chiya Leaf,,"Anish & Yash
(86373 57739)",19AFMPA6962Q1ZM,10021031000280,0.1 Kg,Y (Rs. 299/100gm),5%,,2x100 gms,300 gms,22*15*7.5 (cm),,NA,1600.0,Whatsapp then Email,8637357739,Yash, chiyaleaves@gmail.com,"HD Lama Rd, Chauk Bazaar, Darjeeling, West Bengal 734101",734101,"9 AM to 7 PM
(Thursday Closed)",Post Pickup,Delivery through xpressbees gets delayed. Use Delhivery.
12,Darjeeling Black Tea,,,West Bengal,,,,,,,Y (Rs. 299/100gm),5%,,2x100 gms,300 gms,22*15*7.5 (cm),,NA,1600.0,,,,,,,,,
13,Ghee Anarsa (Puri w/o khowa),,,Gaya (Bihar),Sri Ram Tilkut Bhandar,,,10ABAFS8545F1ZF,10415200000372,"1kg, 0.5kg",N,5%,,"1kg, 0.5kg

400gm can be done",460gm for 400gm SKU,19*11*9 (cm),0.47,NA,323.8,Whatsapp/mail,9102594444,Dhirendra Keshri,sriramtilkutbhandar@gmail.com,"Sri Ram Tilkut Bhandar, Tekari Road, Gaya",823001,,Weekly payment,Vendor prices inclusive of packaging
14,Ghee Anarsa Khowa,,,,,,,,,,N,5%,,,,,,,342.9,,,,,,,,,
15,Tilkut Gur,,,,,,,,,,N,5%,,,,,,,304.8,,,,,,,,,
16,Tilkut (Cheeni),,,,,,,,,,N,5%,,,,,,,304.8,,,,,,,,,
17,Panama Lai,,,,,,,,,,N,5%,,0.5kg; 350gm can be done,,,,,381.0,,,,,,,,,
,Khowa Lai,,,,,,,,,,N,5%,,,,,,,342.9,,,,,,,,,
18,Silao Khaja,,,Silao (Bihar),Sri Kokil Shah Khaja bhandar,,,NA,NA,For 1kg,N,NA,5%,1kg,1.3kg,29×24×14 (cm),2.82,NA,250.0,Whatsapp,9504896984,Jacky Kumar,,SILAO BYPASS NEAR BUS STOP INFRONT OF JAI MATA DI TEA SHOP SILAO NALANDA BIHAR - 803117,803117,Timing 5am to 9pm,"Advance payment, for now",
19,Kaju Dalmoth,,,Bareilly,Kipps,,,09AACHD8544A1ZK,12714009000401,0.5 kg,N,12%,,500 gms,500 gms,18*13*5 (cm),0.3,NA,625.0,First mail then whatsapp,9719449112,Amir,kippssweets1972@gmail.​com,"Kipps Store, near hanuman mandir, 47, Civil Lines, Bareilly, Uttar Pradesh",243001,,Payment in 1-2 days post delivery,
20,Bareily ki Burfi,,,,,,,,,0.4 kg,N,5%,,400 gms,470 gms,18*16*5 (cm),0.36,NA,447.6,,,,,,,,,
21,Balushahi,,,Aligarh,Kunjilal,,,,12720056000092,0.4 kg,N,5%,,400 gms,470 gms,20*17*7 (cm),0.59,NA,552.4,First Mail then whatsapp,"7088500040 
- For Ordering",Soni Ji,kldoff01@gmail.com,"Kunjilal lal foods pvt.ltd, Krishna market, samad road, Aligarh",202001,9 AM to 7 PM,Payment in 1-2 days post delivery,Vendor rates includes primary/secondary packaging
22,Besan Patisa,,,,,,,,,0.4 kg,N,5%,,400 gms,470 gms,20*17*7 (cm),,,419.0,,,,,,,,,
22,Chandrakala,,,,,,,,,0.4 kg,N,5%,,400 gms,470 gms,20*17*7 (cm),0.59,,457.1,,,,,,,,,
27,Dalsev,,,,,,,,,0.5 kg,N,12%,,500 gms,500 gms,20*17*7 (cm),0.59,,392.9,,,,,,,,,
28,S&S Chanachur,,,Kolkata,Mukharochak,,,,,0.4 kg,,12%,,500 gms,,,,,280.4,,,,,,,,,
29,Rasogulla,,,,,,,,,1 Kg,,5%,,1kg,,,,,217.1,,,,,,,,,
23,Dhodha,,,Punjab,RHJ,,,03AABFR2891P1ZU,12118441000255,0.4 kg,N,5%,,400 gms,500 gm,17*17*4 (cm),,NA,360.4,,,,,,,,,
24,Rasogulla,,,Kolkata (West Bengal),Ganguram,,,See invoice,,For 1kg,Y (Custom),5%,,1 kg,1.1 kg,11*11*14 (cm),,Y,189.0,First Mail then whatsapp,7003134441,Aman Chourasia,ganguramonline@gmail.com,"Gangaram Sweets
123/2 A P C Road
Brandon Street
Kolkata 700006",700006,Till 7 pm,Payment on the same day,
25,Nolen Gurer Jolbhora Sandesh,,,,,,,,,0.4 kg,N,5%,,400 gm,500 gm,19.5*14.5*7 (cm),,NA,780.0,,,,,,,,,
26,Kaju Paan,,,,,,,,,0.4 kg,N,5%,,400 gm,500 gm,,,NA,857.5,,,,,,,,,
27,Anjeer Burfi,,,Delhi,Nathus,,,07BMHPG2575C3Z8,13318010000672,0.4 kg,N,5%,,400 gm,500 gm,19*14*9 (cm),,NA,1142.9,Whatsapp/Call,9599091606,Bhavya/Sajjan,,"Nathus, C-787, New Friends Colony ,new delhi 110025",110025,No such time information,Payment in 1-2 days post delivery,Prices include packaging cost also
28,Khajur Burfi,,,Delhi,,,,,,0.4 kg,,5%,,400 gm,500 gm,19*14*9 (cm),,NA,560.0,Whatsapp/Call,9599091606,Bhavya/Sajjan,,"Nathus, C-787, New Friends Colony ,new delhi 110025",110025,No such time information,Payment in 1-2 days post delivery,Prices include packaging cost also
29,Kaju Badam Lachcha,,,Chandrakala,PK Namkeen,,,09AAFFK0027Q1Z3,,0,Y (Custom),12%,,400 gms (custom),500 gms,19*14*9 (cm),,Y,171.9,Whatsapp,9711940026,Yash (owner),pknamkeen2009@gmail.com,KUMAR ENTERPRISE (P.K NAMKEEN HEAD OFFICE) NEAR KATRA CHAND KHAN BEHIND SATELLITE BUS STATION BAREILLY 243001 UTTAR PRADESH,243001,10 AM to 8 PM,As per billing. Same day (for now),
30,Makhana Mixture,,,,,,,,,0.4 kg,Y (Custom),12%,,400 gms (custom),500 gms,10*15*15 (cm),,Y,171.9,,,,,,,,,
31,Paneer Bhujia,,,,,,,,,0.4 kg,Y (Custom),12%,,400 gms (custom),500 gms,19*14*9 (cm),,Y,196.4,,,,,,,,,
32,Sohan Papdi,,,Aligarh (UP),Kunjilal,,,,12720056000092,0.4 kg,N,5%,,400 gms (custom),500 gms,19*14*9 (cm),,NA,457.1,First Mail then whatsapp,,,,,,,,
,Allahabadi Samosa,,,,,,,,,,,12%,,,,,,,428.6,,,,,,,,,
33,Bal Mithai (with sugar balls),,,"Mussoorie, Uttarakhand",Omi Sweets,,9837171819,05CAHPG7422B1Z8,,0.4 kg,N,5%,,0.4 kg,500 gms,18*14*5 (cm),,NA,500.0,Whatsapp,9837171819,Ashwani mittal,,"153 - 154 Landour bazaar Mussoorie Dist dehradun, Mussoorie, Uttarakhand. India ",248179,,As per billing. Same day,
34,Bal Mithai w/o sugar balls with nuts ,,,,,,,,,,,5%,,400 gms (custom),500 gms,19*14*9 (cm),,NA,547.6,,,,,,,,,
35,Indori Khatta Mittha Mixture,,,Indore,Khandelwal Ratlami Sev Bhandar,,"9425054112, 8827098612",23AKFPK4121P1Z6,11414850002096,0.4 kg,Y (CUSTOM),12%,,0.4 kg,500 gms,17*21*7 (cm),,Y,151.8,Whatsapp,9425054112,Mayank,,"Khandelwal Ratlami Sev Bhandar, 109, R.N.T. Marg, Chhawani Chowk

Indore, Madhya Pradesh
India - 452001",452001,,As per billing. Same day,
36,Ratlami sev ,,,,,,,,,0.4 kg,Y,12%,,0.4 kg,500 gms,17*21*7 (cm),,Y,151.8,,,,,,,,,
